chromosome	start1	end1	id1	start2	end2	id2	localScore
1	240000	280000	5981	240000	280000	4776	0.0
1	560000	600000	5982	560000	600000	4777	0.0
1	680000	880000	1	680000	800000	1	0.4
1	680000	880000	1	800000	880000	4778	0.6
1	880000	1280000	2	880000	1280000	2	0.0
1	1280000	1560000	3	1280000	1520000	3	0.142857142857
1	1280000	1560000	3	1520000	1680000	4	0.857142857143
1	1560000	1680000	4	1520000	1680000	4	0.25
1	1680000	1840000	5	1680000	1840000	5	0.0
1	1840000	2120000	6	1840000	2120000	6	0.0
1	2120000	2320000	7	2120000	2320000	7	0.0
1	2320000	2480000	8	2320000	2520000	8	0.2
1	2480000	2600000	9	2320000	2520000	8	0.8
1	2480000	2600000	9	2520000	2600000	4779	0.333333333333
1	2680000	2960000	10	2680000	3360000	9	0.588235294118
1	2960000	3360000	11	2680000	3360000	9	0.411764705882
1	3360000	3680000	12	3360000	3560000	10	0.375
1	3360000	3680000	12	3560000	3720000	11	0.625
1	3680000	3840000	13	3560000	3720000	11	0.75
1	3680000	3840000	13	3720000	3840000	4780	0.25
1	4000000	4680000	14	4000000	6040000	12	0.666666666667
1	4680000	5560000	15	4000000	6040000	12	0.56862745098
1	5560000	6080000	16	4000000	6040000	12	0.764705882353
1	5560000	6080000	16	6040000	6280000	4781	0.923076923077
1	6080000	6280000	17	6040000	6280000	4781	0.166666666667
1	6280000	6520000	18	6280000	6520000	13	0.0
1	6520000	6760000	19	6520000	6760000	14	0.0
1	6760000	7280000	20	6760000	7720000	15	0.458333333333
1	7280000	7720000	21	6760000	7720000	15	0.541666666667
1	7720000	8040000	22	7720000	8040000	16	0.0
1	8040000	8400000	23	8040000	8400000	17	0.0
1	8400000	8920000	24	8400000	8920000	18	0.0
1	8920000	9080000	25	8920000	9280000	19	0.555555555556
1	9080000	9320000	26	8920000	9280000	19	0.444444444444
1	9080000	9320000	26	9280000	9680000	20	0.9
1	9320000	9560000	27	9280000	9680000	20	0.4
1	9560000	9680000	28	9280000	9680000	20	0.7
1	9680000	9760000	5983	9680000	10520000	21	0.904761904762
1	9760000	10000000	29	9680000	10520000	21	0.714285714286
1	10000000	10160000	30	9680000	10520000	21	0.809523809524
1	10160000	10520000	31	9680000	10520000	21	0.571428571429
1	10520000	11080000	32	10520000	11080000	22	0.0
1	11080000	11320000	33	11080000	11320000	23	0.0
1	11320000	11720000	34	11320000	11720000	24	0.0
1	11720000	11840000	35	11720000	11840000	25	0.0
1	11840000	12120000	36	11840000	12120000	26	0.0
1	12120000	12320000	37	12120000	12320000	27	0.0
